Model,Kimlik,Bağlantı
"M071","hk-071-001","https://sahinkayamobilya.com/konfigurator/?m=M071&r=7044&f=yari-parlak&d=1&dy=10"
"M072","hk-072-001","https://sahinkayamobilya.com/konfigurator/?m=M072&r=7044&f=yari-parlak&d=1&dy=10"
"M073","hk-073-001","https://sahinkayamobilya.com/konfigurator/?m=M073&r=7044&f=yari-parlak&d=1&dy=10"
"M074","hk-074-001","https://sahinkayamobilya.com/konfigurator/?m=M074&r=7044&f=yari-parlak&d=1&dy=10"
"M075","hk-075-001","https://sahinkayamobilya.com/konfigurator/?m=M075&r=7044&f=yari-parlak&d=1&dy=10"
"M080","hk-080-001","https://sahinkayamobilya.com/konfigurator/?m=M080&r=7044&f=yari-parlak&d=1&dy=10"
"M081","hk-081-001","https://sahinkayamobilya.com/konfigurator/?m=M081&r=7044&f=yari-parlak&d=1&dy=10"
"M082","hk-082-001","https://sahinkayamobilya.com/konfigurator/?m=M082&r=7044&f=yari-parlak&d=1&dy=10"
"M090","hk-090-001","https://sahinkayamobilya.com/konfigurator/?m=M090&r=7044&f=yari-parlak&d=1&dy=10"
"M099","hk-099-001","https://sahinkayamobilya.com/konfigurator/?m=M099&r=7044&f=yari-parlak&d=1&dy=10"
"yandankulplu","yandan-kulplu","https://sahinkayamobilya.com/konfigurator/?m=yandan-kulplu&r=7044&f=yari-parlak&d=1&dy=10"
"açılı kapak","acili-kapak","https://sahinkayamobilya.com/konfigurator/?m=acili-kapak&r=7044&f=yari-parlak&d=1&dy=10"
"alttankulplu","alttan-kulplu","https://sahinkayamobilya.com/konfigurator/?m=alttan-kulplu&r=7044&f=yari-parlak&d=1&dy=10"
"camlı1","camli-1","https://sahinkayamobilya.com/konfigurator/?m=camli-1&r=7044&f=yari-parlak&d=1&dy=10"
"camlı2","camli-2","https://sahinkayamobilya.com/konfigurator/?m=camli-2&r=7044&f=yari-parlak&d=1&dy=10"
"camlı3","camli-3","https://sahinkayamobilya.com/konfigurator/?m=camli-3&r=7044&f=yari-parlak&d=1&dy=10"
"camlı4","camli-4","https://sahinkayamobilya.com/konfigurator/?m=camli-4&r=7044&f=yari-parlak&d=1&dy=10"
"ekkapak","ek-kapak","https://sahinkayamobilya.com/konfigurator/?m=ek-kapak&r=7044&f=yari-parlak&d=1&dy=10"
"gardrop 1","gardrop-1","https://sahinkayamobilya.com/konfigurator/?m=gardrop-1&r=7044&f=yari-parlak&d=1&dy=10"
"gardrop 2","gardrop-2","https://sahinkayamobilya.com/konfigurator/?m=gardrop-2&r=7044&f=yari-parlak&d=1&dy=10"
"gardrop 3","gardrop-3","https://sahinkayamobilya.com/konfigurator/?m=gardrop-3&r=7044&f=yari-parlak&d=1&dy=10"
"gardrop 4","gardrop-4","https://sahinkayamobilya.com/konfigurator/?m=gardrop-4&r=7044&f=yari-parlak&d=1&dy=10"
